countryLabel,governmentLabel,hdi,population,gdpPerCapita,continentLabel
Йемен,президентская республика,0.455,28250420,,Азия
КНДР,республика,,26418204,,Азия
КНДР,однопартийная система,,26418204,,Азия
КНДР,унитарное государство,,26418204,,Азия
КНДР,чучхе,,26418204,,Азия
КНДР,социалистическое государство,,26418204,,Азия
КНДР,семейная диктатура,,26418204,,Азия
КНДР,коммунистическая диктатура,,26418204,,Азия
Кабо-Верде,парламентская республика,0.662,555988,,Африка
Казахстан,президентская республика,0.811,20139914,,Европа
Казахстан,президентская республика,0.811,20139914,,Азия
Камбоджа,конституционная монархия,0.593,17423880,,Азия
Камерун,республика,0.576,28372687,,Африка
Канада,конституционная монархия,0.936,36991981,,Северная Америка
Канада,федеративное государство,0.936,36991981,,Северная Америка
Канада,парламентская система,0.936,36991981,,Северная Америка
Катар,конституционная монархия,0.855,2639211,,Азия
Кения,,0.575,48468138,,Африка
Кипр,республика,0.896,1344976,,Европа
Кипр,президентская республика,0.896,1344976,,Европа
Кирибати,,0.624,134518,,Океания
Кирибати,,0.624,134518,,Австралия и Океания
Китай,республика,0.768,1404890000,,Азия
Китай,однопартийная система,0.768,1404890000,,Азия
Китай,унитарное государство,0.768,1404890000,,Азия
Китай,демократический централизм,0.768,1404890000,,Азия
Китай,конституционная республика,0.768,1404890000,,Азия
Китай,парламентская республика,0.768,1404890000,,Азия
Китай,коммунистическая диктатура,0.768,1404890000,,Азия
Китайская Республика (Тайвань),демократия,0.911,23317031,,Азия
Китайская Республика (Тайвань),смешанная республика,0.911,23317031,,Азия
Китайская Республика (Тайвань),конституционная республика,0.911,23317031,,Азия
Колумбия,республика,0.752,52321152,,Южная Америка
Коморы,федеративная республика,0.558,902348,,Африка
Королевство Нидерландов,конституционная монархия,0.941,17100715,,Европа
Коста-Рика,,0.809,5265575,,Северная Америка
Кот-д’Ивуар,республика,0.55,31165654,,Африка
Куба,унитарное государство,0.764,10985974,,Северная Америка
Кувейт,конституционная монархия,0.831,4464000,,Азия
Кыргызстан,парламентская республика,0.692,7281800,,Азия
Кюрасао,парламентская демократия,0.89,152849,,Северная Америка
Лаос,народная республика,0.607,6858160,,Азия
Лаос,коммунистическая диктатура,0.607,6858160,,Азия
Латвия,республика,0.863,1856932,,Европа
Латвия,парламентская республика,0.863,1856932,,Европа
Лесото,конституционная монархия,0.514,2007201,,Африка
Либерия,республика,0.481,5214030,,Африка
Либерия,президентская республика,0.481,5214030,,Африка
Либерия,конституционная республика,0.481,5214030,,Африка
Либерия,Herrenvolk democracy,0.481,5214030,,Африка
Ливан,парламентская республика,0.706,6100075,,Азия
Ливия,республика,0.718,7381023,,Африка
Литва,смешанная республика,0.875,2860002,,Европа
Литва,парламентская республика,0.875,2860002,,Европа
Лихтенштейн,конституционная монархия,0.935,37922,,Европа
Люксембург,конституционная монархия,0.93,681973,,Европа
Маврикий,парламентская республика,0.802,1264613,,Африка
Мавритания,,0.556,4736139,,Африка
Мадагаскар,республика,0.501,31964956,,Африка
Малави,,0.512,17563749,,Африка
Малайзия,федеративная монархия,0.803,32447385,,Азия
Малайзия,парламентская монархия,0.803,32447385,,Азия
Малайзия,конституционная монархия,0.803,32447385,,Азия
Малайзия,федеративное государство,0.803,32447385,,Азия
Малайзия,выборная монархия,0.803,32447385,,Азия
Мали,,0.428,20250833,,Африка
Мальдивы,,0.747,436330,,Азия
Мальта,парламентская демократия,0.918,553214,,Европа
Марокко,конституционная монархия,0.683,36828330,,Африка
Маршалловы Острова,,0.639,53127,,Австралия и Океания
Мексика,империя,0.758,132274416,,Северная Америка
Мексика,президентская республика,0.758,132274416,,Северная Америка
Мексика,федеративная республика,0.758,132274416,,Северная Америка
Мексика,конституционная республика,0.758,132274416,,Северная Америка
Мексика,демократическая республика,0.758,132274416,,Северная Америка
Мозамбик,,0.446,29668834,,Африка
Молдова,парламентская республика,0.767,2409207,,Европа
Монако,конституционная монархия,,38857,,Европа
Монако,наследственная монархия,,38857,,Европа
Монголия,парламентская система,0.739,3409939,,Азия
Мьянма,республика,0.585,53370609,,Азия
Намибия,,0.615,2533794,,Африка
Науру,,,13650,,Австралия и Океания
Непал,народная республика,0.602,29164578,,Азия
Непал,федеративная республика,0.602,29164578,,Азия
Нигер,,0.4,21477348,,Африка
Нигерия,федеративная республика,0.535,211400708,,Африка
Нидерланды,конституционная монархия,0.931,17942942,,Европа
Нидерланды,парламентская монархия,0.931,17942942,,Европа
Никарагуа,республика,0.667,5142098,,Северная Америка
Ниуэ,,,1821,,Океания
Новая Зеландия,парламентская монархия,0.937,5307800,41666.64,Австралия и Океания
Норвегия,конституционная монархия,0.966,5627400,,Европа
Норвегия,представительная демократия,0.966,5627400,,Европа
Объединённые Арабские Эмираты,конституционная монархия,0.911,9890400,,Азия
Объединённые Арабские Эмираты,абсолютная монархия,0.911,9890400,,Азия
Объединённые Арабские Эмираты,федеративная монархия,0.911,9890400,,Азия
Оман,абсолютная монархия,0.816,4829480,,Азия
Острова Кука,,,14222,,Океания
Пакистан,федеративная республика,0.544,223773700,,Азия
Пакистан,парламентская республика,0.544,223773700,,Азия
Палау,,0.767,21729,,Океания
Палау,,0.767,21729,,Австралия и Океания
