country,countryLabel,governmentLabel,hdi,gdpPerCapita,continentLabel
http://www.wikidata.org/entity/Q1006,Гвинея,республика,0.465,,Африка
http://www.wikidata.org/entity/Q1007,Гвинея-Бисау,,0.483,,Африка
http://www.wikidata.org/entity/Q183,Германия,республика,0.942,,Европа
http://www.wikidata.org/entity/Q183,Германия,федеративное государство,0.942,,Европа
http://www.wikidata.org/entity/Q183,Германия,парламентская республика,0.942,,Европа
http://www.wikidata.org/entity/Q183,Германия,федеративная парламентская республика,0.942,,Европа
http://www.wikidata.org/entity/Q783,Гондурас,республика,0.621,,Северная Америка
http://www.wikidata.org/entity/Q219060,Государство Палестина,смешанная республика,0.715,,Азия
http://www.wikidata.org/entity/Q219060,Государство Палестина,унитарное государство,0.715,,Азия
http://www.wikidata.org/entity/Q219060,Государство Палестина,парламентская республика,0.715,,Азия
http://www.wikidata.org/entity/Q769,Гренада,,0.795,,Северная Америка
http://www.wikidata.org/entity/Q223,Гренландия,парламентская монархия,,,Северная Америка
http://www.wikidata.org/entity/Q41,Греция,парламентская республика,0.887,,Европа
http://www.wikidata.org/entity/Q230,Грузия,смешанная республика,0.802,,Европа
http://www.wikidata.org/entity/Q230,Грузия,унитарное государство,0.802,,Европа
http://www.wikidata.org/entity/Q230,Грузия,парламентская республика,0.802,,Европа
http://www.wikidata.org/entity/Q35,Дания,конституционная монархия,0.929,,Европа
http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,республика,0.479,,Африка
http://www.wikidata.org/entity/Q977,Джибути,,0.509,,Африка
http://www.wikidata.org/entity/Q784,Доминика,,0.74,,Северная Америка
http://www.wikidata.org/entity/Q786,Доминиканская Республика,,0.767,,Северная Америка
http://www.wikidata.org/entity/Q79,Египет,республика,0.731,,Африка
http://www.wikidata.org/entity/Q953,Замбия,президентская республика,0.565,,Африка
http://www.wikidata.org/entity/Q953,Замбия,представительная демократия,0.565,,Африка
http://www.wikidata.org/entity/Q954,Зимбабве,,0.593,,Африка
